timestamp,open (MYR),high (MYR),low (MYR),close (MYR),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-04-08,193500.46680000,195845.14148000,187545.20156000,188190.45254000,43444.20000000,43970.62000000,42107.14000000,42252.01000000,42375.04203000,42375.04203000
2022-04-07,192281.27338000,195535.00946000,190307.61690000,193500.42226000,43170.47000000,43900.99000000,42727.35000000,43444.19000000,37396.54156000,37396.54156000
2022-04-06,202646.04316000,202688.80156000,192060.93400000,192281.27338000,45497.54000000,45507.14000000,43121.00000000,43170.47000000,60849.32936000,60849.32936000
2022-04-05,207469.54700000,210228.80000000,202005.86974000,202646.08770000,46580.50000000,47200.00000000,45353.81000000,45497.55000000,42192.74852000,42192.74852000
2022-04-04,206698.38144000,208851.22234000,200955.57200000,207469.59154000,46407.36000000,46890.71000000,45118.00000000,46580.51000000,44641.87514000,44641.87514000
2022-04-03,204042.14946000,211316.06594000,202794.71768000,206698.33690000,45810.99000000,47444.11000000,45530.92000000,46407.35000000,33394.67794000,33394.67794000
2022-04-02,206146.66446000,210286.70200000,203191.48000000,204042.19400000,46283.49000000,47213.00000000,45620.00000000,45811.00000000,37073.53582000,37073.53582000
2022-04-01,202703.09890000,208091.28086000,196866.80000000,206146.66446000,45510.35000000,46720.09000000,44200.00000000,46283.49000000,56271.06474000,56271.06474000
2022-03-31,209640.82746000,212010.40000000,201320.80000000,202703.05436000,47067.99000000,47600.00000000,45200.00000000,45510.34000000,48645.12667000,48645.12667000
2022-03-30,211274.55466000,212456.77988000,206867.90068000,209640.82746000,47434.79000000,47700.22000000,46445.42000000,47067.99000000,40947.20850000,40947.20850000
2022-03-29,209882.32334000,214221.67738000,209119.08590000,211274.59920000,47122.21000000,48096.47000000,46950.85000000,47434.80000000,36772.28457000,36772.28457000
2022-03-28,208570.84304000,214637.54736000,207839.49624000,209882.32334000,46827.76000000,48189.84000000,46663.56000000,47122.21000000,58949.26140000,58949.26140000
2022-03-27,198253.19658000,209333.54600000,197853.18284000,208570.84304000,44511.27000000,46999.00000000,44421.46000000,46827.76000000,41874.91071000,41874.91071000
2022-03-26,197370.81464000,199507.97746000,196296.55438000,198253.19658000,44313.16000000,44792.99000000,44071.97000000,44511.27000000,23041.61741000,23041.61741000
2022-03-25,195937.96284000,200849.29956000,194100.86600000,197370.81464000,43991.46000000,45094.14000000,43579.00000000,44313.16000000,54614.43648000,54614.43648000
2022-03-24,190999.81304000,196959.84406000,189564.28884000,195937.96284000,42882.76000000,44220.89000000,42560.46000000,43991.46000000,56195.12374000,56195.12374000
2022-03-23,188689.83502000,191637.62584000,185961.04738000,190999.81304000,42364.13000000,43025.96000000,41751.47000000,42882.76000000,40828.87039000,40828.87039000
2022-03-22,182624.06604000,193129.89400000,182059.52154000,188689.83502000,41002.26000000,43361.00000000,40875.51000000,42364.13000000,59454.94294000,59454.94294000
2022-03-21,183781.43794000,185037.95588000,180244.20476000,182624.02150000,41262.11000000,41544.22000000,40467.94000000,41002.25000000,39426.24877000,39426.24877000
2022-03-20,187963.83302000,188387.54204000,182217.59400000,183781.43794000,42201.13000000,42296.26000000,40911.00000000,41262.11000000,30653.33468000,30653.33468000
2022-03-19,185987.94954000,188849.60000000,184837.83766000,187963.83302000,41757.51000000,42400.00000000,41499.29000000,42201.13000000,29067.18108000,29067.18108000
2022-03-18,182248.28206000,188515.63908000,178761.46816000,185987.94954000,40917.89000000,42325.02000000,40135.04000000,41757.51000000,45408.00969000,45408.00969000
2022-03-17,183121.80054000,184746.66428000,180387.00000000,182248.32660000,41114.01000000,41478.82000000,40500.00000000,40917.90000000,37189.38087000,37189.38087000
2022-03-16,174954.58982000,185811.97200000,172942.04992000,183121.75600000,39280.33000000,41718.00000000,38828.48000000,41114.00000000,88120.76167000,88120.76167000
2022-03-15,176696.28198000,177659.41494000,169689.96182000,174954.58982000,39671.37000000,39887.61000000,38098.33000000,39280.33000000,46015.54926000,46015.54926000
2022-03-14,168260.31690000,177924.47248000,167269.97000000,176696.28198000,37777.35000000,39947.12000000,37555.00000000,39671.37000000,46945.45375000,46945.45375000
2022-03-13,172847.93690000,175086.74000000,167374.68354000,168260.27236000,38807.35000000,39310.00000000,37578.51000000,37777.34000000,32791.82359000,32791.82359000
2022-03-12,172501.50478000,175873.80634000,172193.95608000,172847.98144000,38729.57000000,39486.71000000,38660.52000000,38807.36000000,24034.36432000,24034.36432000
2022-03-11,175585.63254000,179212.30204000,170247.91440000,172501.50478000,39422.01000000,40236.26000000,38223.60000000,38729.57000000,59018.76420000,59018.76420000
2022-03-10,186808.33180000,187244.51202000,171655.95742000,175585.58800000,41941.70000000,42039.63000000,38539.73000000,39422.00000000,71962.93154000,71962.93154000
2022-03-09,172506.22602000,189713.94324000,172175.82830000,186808.37634000,38730.63000000,42594.06000000,38656.45000000,41941.71000000,67392.58799000,67392.58799000
2022-03-08,169198.59654000,175318.70432000,168662.51310000,172506.22602000,37988.01000000,39362.08000000,37867.65000000,38730.63000000,55583.06638000,55583.06638000
2022-03-07,171126.24320000,176144.87678000,165488.37000000,169198.55200000,38420.80000000,39547.57000000,37155.00000000,37988.00000000,63994.11559000,63994.11559000
2022-03-06,175478.55838000,176796.49698000,169646.49078000,171126.28774000,39397.97000000,39693.87000000,38088.57000000,38420.81000000,39677.26158000,39677.26158000
2022-03-05,174368.08710000,176437.37096000,171067.40586000,175478.51384000,39148.65000000,39613.24000000,38407.59000000,39397.96000000,30363.13341000,30363.13341000
2022-03-04,189090.11600000,189416.59420000,171701.70000000,174368.13164000,42454.00000000,42527.30000000,38550.00000000,39148.66000000,61964.68498000,61964.68498000
2022-03-03,195499.37746000,196426.38848000,186320.97512000,189090.11600000,43892.99000000,44101.12000000,41832.28000000,42454.00000000,50940.61021000,50940.61021000
2022-03-02,197852.02480000,202211.60000000,193010.03686000,195499.33292000,44421.20000000,45400.00000000,43334.09000000,43892.98000000,57782.65081000,57782.65081000
2022-03-01,192234.64000000,200202.84600000,190675.65092000,197852.02480000,43160.00000000,44949.00000000,42809.98000000,44421.20000000,61743.09873000,61743.09873000
2022-02-28,167911.70232000,196981.89136000,166803.05718000,192234.64000000,37699.08000000,44225.84000000,37450.17000000,43160.00000000,73945.63858000,73945.63858000
2022-02-27,174225.91542000,177517.28780000,164798.00000000,167911.65778000,39116.73000000,39855.70000000,37000.00000000,37699.07000000,46229.44719000,46229.44719000
2022-02-26,174682.13864000,179711.99630000,171804.94372000,174225.87088000,39219.16000000,40348.45000000,38573.18000000,39116.72000000,29361.25680000,29361.25680000
2022-02-25,170715.94072000,176750.44262000,169316.00398000,174682.18318000,38328.68000000,39683.53000000,38014.37000000,39219.17000000,56574.57125000,56574.57125000
